produto,ano_safra,valor,grupo,variavel,unidade,produto_clean
1.8 Feijão (1ª Safra),2025,1066966.0,Brasil,Produção (Toneladas),Toneladas,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2025,1251779.0,Brasil,Produção (Toneladas),Toneladas,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2025,793413.0,Brasil,Produção (Toneladas),Toneladas,Feijão (3ª Safra)
1.11 Girassol,2025,119728.0,Brasil,Produção (Toneladas),Toneladas,Girassol
1.12 Mamona,2025,33621.0,Brasil,Produção (Toneladas),Toneladas,Mamona
1.13 Milho (1ª Safra),2025,26150105.0,Brasil,Produção (Toneladas),Toneladas,Milho (1ª Safra)
1.14 Milho (2ª Safra),2025,111430928.0,Brasil,Produção (Toneladas),Toneladas,Milho (2ª Safra)
1.15 Soja,2025,165536108.0,Brasil,Produção (Toneladas),Toneladas,Soja
1.16 Sorgo,2025,4927680.0,Brasil,Produção (Toneladas),Toneladas,Sorgo
1.17 Trigo,2025,7700024.0,Brasil,Produção (Toneladas),Toneladas,Trigo
1.18 Triticale,2025,41116.0,Brasil,Produção (Toneladas),Toneladas,Triticale
4 Banana,2025,7226544.0,Brasil,Produção (Toneladas),Toneladas,Banana
5 Batata - inglesa (1ª Safra),2025,1969879.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2025,1501684.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2025,1029756.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (3ª Safra)
8 Cacau,2025,293482.0,Brasil,Produção (Toneladas),Toneladas,Cacau
9 Café arábica,2025,2253938.0,Brasil,Produção (Toneladas),Toneladas,Café arábica
10 Café canephora,2025,1199913.0,Brasil,Produção (Toneladas),Toneladas,Café canephora
11 Cana-de-açúcar,2025,695085205.0,Brasil,Produção (Toneladas),Toneladas,Cana-de-açúcar
12 Castanha-de-caju,2025,146747.0,Brasil,Produção (Toneladas),Toneladas,Castanha-de-caju
15 Fumo,2025,790182.0,Brasil,Produção (Toneladas),Toneladas,Fumo
18 Laranja,2025,12832137.0,Brasil,Produção (Toneladas),Toneladas,Laranja
21 Mandioca,2025,20237736.0,Brasil,Produção (Toneladas),Toneladas,Mandioca
24 Tomate,2025,4471918.0,Brasil,Produção (Toneladas),Toneladas,Tomate
25 Uva,2025,2099459.0,Brasil,Produção (Toneladas),Toneladas,Uva
